"Unique ID	Part Number	Description	Type	Hrs Interval	Month	Qty	Spare qty	Price	Unit of Measure	Min	Median	Max",,
"UID-A-000925	ACH5	Current limitter	Consumable				2	54	EACH	365.5231961	420.7579281	553.0247686",,
"UID-A-000926	ACH50	Current limitter	Consumable				2	175	EACH	457.739555	504.6685771	617.460071",,
"UID-A-000933	AGC-1	Fuse	Consumable				1	25	EACH	404.0201105	418.7064438	467.8992116",,
"UID-A-000934	AGC-1/2	Fuse	Consumable				1	25	EACH	490.6171185	584.0736159	854.5620894",,
"UID-A-000941	AN3_6A	Bolt	Consumable				10	0.24	EACH	302.1530123	462.6724343	542.5570026",,
"UID-A-000942	AN315-3R	Nut	Consumable				2	1.5	EACH	463.7921578	591.5835244	662.2618098",,
"UID-A-000943	AN315-4R	Nut	Consumable				2	1.5	EACH	511.9093698	551.7102587	641.2002608",,
"UID-A-000945	AN3-3A	Bolt	Consumable				10	0.21	EACH	322.7508781	453.6323547	573.3021312",,
"UID-A-000946	AN3-4A	Bolt	Consumable				10	0.21	EACH	321.8176641	507.6208526	726.5843085",,
"UID-A-000947	AN3-5A	Bolt	Consumable				10	0.06	EACH	511.4102979	526.3020979	597.3843161",,
"UID-A-000948	AN4-3A	Bolt	Consumable				40	0.41	EACH	407.5129515	594.2071463	695.0475465",,
"UID-A-000949	AN-4-4A	Bolt	Consumable				20	0.28	EACH	385.0527984	478.3037024	688.6387631",,
"UID-A-000950	AN4-6A		Consumable				75	0.12	EACH	491.7196262	519.6823107	662.9719384",,
"UID-A-000951	AN525-10R4	Screw	Consumable				5	1.5	EACH	480.956531	520.6212115	689.6250066",,
"UID-A-000952	AN525-10R5	Screw	Consumable				5	1.5	EACH	250.3690478	402.6124666	450.7861406",,
"UID-A-000953	AN525-10R6	Screw	Consumable				10	0.06	EACH	405.5375665	539.7893911	659.8939779",,
"UID-A-000954	AN525-10R7	Screw	Consumable				20	0.06	EACH	385.1406738	525.9492898	706.0797858",,
"UID-A-000955	AN525-10R8	Screw	Consumable				20	1.5	EACH	295.907735	574.8168666	615.5621264",,
"UID-A-000956	AN525-832R5	Screw	Consumable				5	1.5	EACH	271.5004888	496.7305297	604.7221536",,
"UID-A-000957	AN525-832R6	Screw	Consumable				5	1.5	EACH	376.4062264	574.7401445	589.0542026",,
"UID-A-000958	AN525-832R7	Screw	Consumable				5	1.5	EACH	484.1455828	551.2390774	750.5320874",,
"UID-A-000959	AN525-832R8	Screw	Consumable				5	1.5	EACH	480.1446786	521.7113441	761.6914151",,
"UID-A-000960	AN526C1032R8	Screw- Spinner	Consumable				70	1.5	EACH	405.5004412	530.2638024	785.6635108",,
"UID-A-000963	AN6227B14	Packing	Consumable				2	0.27	EACH	372.9572981	529.0371207	763.1654531",,
"UID-A-000964	AN6227B21	Packing	Consumable				2	0.64	EACH	300.5370802	584.9247696	766.7103597",,
"UID-A-000965	AN6227B23	Packing	Consumable				2	0.64	EACH	210.7853629	409.4848468	484.9543695",,
"UID-A-000966	AN6227B9	Packing	Consumable				2	1.09	EACH	435.0595377	566.7243563	652.6315252",,
"UID-A-000968	AN900-10	Gasket	Consumable				2	25	EACH	536.5580427	562.0238224	733.4759841",,
"UID-A-000969	AN900-7	gasket	Consumable				2	1.36	EACH	528.7487425	533.30715	665.5050544",,
"UID-A-000970	AN960-1016L	Washer	Consumable				2	1.5	EACH	439.5503322	547.4710903	750.1857965",,
"UID-A-000971	AN960-818	Washer	Consumable				2	0.49	EACH	279.3633661	470.164308	522.7549971",,
"UID-A-000972	AN960-818L	Washer	Consumable				2	0.49	EACH	532.6442357	577.2214742	656.7357346",,
"UID-A-000973	AN960C416	Washer	Consumable				2	0.04	EACH	396.912798	434.9314954	618.056752",,
"UID-A-000974	AN960D416L	Washer	Consumable				75	1.5	EACH	421.2926465	499.3080789	679.7484111",,
"UID-A-000975	ANL-100	Current Limiter	Consumable				2	25	EACH	530.5376176	564.47889	586.4872068",,
"UID-A-000976	ANL125	Current limitter	Consumable				2	25	EACH	403.2395999	495.7806945	612.2184387",,
"UID-A-000977	ANL150	Current limitter	Consumable				2	25	EACH	475.4993744	527.0521903	772.3576111",,
"UID-A-000978	ANL-200	Current Limiter	Consumable				2	25	EACH	247.8959356	435.9096574	437.8316784",,
"UID-A-000979	ANL35	Current limitter	Consumable				2	25	EACH	269.0276563	419.1874977	495.5402268",,
"UID-A-000980	ANL50	Current limitter	Consumable				2	25	EACH	368.3582516	590.0362134	592.4794603",,
"UID-A-000981	ANL80	Current limitter	Consumable				2	52.98	EACH	293.7392327	435.6754813	517.0945866",,
"UID-A-000987	AS3208-04	Packing	Consumable				4	0.08	EACH	282.0612193	436.4574147	595.3592798",,
"UID-A-000990	AS3208-06	Packing	Consumable				2	0.1	EACH	255.2221143	490.3349063	562.4098276",,
"UID-A-000991	AS3208-08	Packing	Consumable				2	1.5	EACH	290.6557903	444.3033226	619.3399664",,
"UID-A-000992	AS3209-009	Packing	Consumable				112	0.05	EACH	404.7010231	463.5107345	559.509469",,
"UID-A-000993	AS3209-010	Packing	Consumable				2	0.06	EACH	541.4215043	588.4913362	856.4544745",,
"UID-A-000994	AS3209-012	Packing	Consumable				2	0.07	EACH	487.8021308	528.8824351	732.2330499",,
"UID-A-000995	AS3209-013	Packing	Consumable				2	0.09	EACH	311.9061383	465.5612981	690.3867564",,
"UID-A-000996	AS3209-014	Packing	Consumable				2	0.1	EACH	299.0403115	434.943005	530.1766928",,
"UID-A-000998	AS3209-016	Packing	Consumable				2	0.11	EACH	490.875582	553.3258784	558.8377823",,
"UID-A-000999	AS3209-017	Packing	Consumable				2	0.12	EACH	274.3659305	516.3316557	634.3427173",,
"UID-A-001000	AS3209-018	Packing	Consumable				2	1.5	EACH	581.7803891	598.6881906	616.3978296",,
"UID-A-001001	AS3209-019	Packing	Consumable				2	1.5	EACH	446.1703804	584.9574938	586.7416629",,
"UID-A-001002	AS3209-021	Packing	Consumable				2	1.5	EACH	496.7791088	541.511202	708.4220274",,
"UID-A-001003	AS3209-026	Packing	Consumable				2	1.5	EACH	375.994702	429.9271275	614.7152138",,
"UID-A-001004	AS3209-029	Packing	Consumable				2	0.22	EACH	506.0693904	549.7829094	701.3320883",,
"UID-A-001005	AS3209-030	Packing	Consumable				2	0.25	EACH	553.7948973	575.2610636	753.970221",,
"UID-A-001006	AS3209-113	Packing (Quil Shaft)	Consumable				12	0.15	EACH	383.6866662	497.7986597	549.4279921",,
"UID-A-001008	AS3209-114	Packing	Consumable				2	0.17	EACH	277.3032487	437.5722414	479.1280081",,
"UID-A-001010	AS3209-115	Packing	Consumable				2	1.5	EACH	505.1715796	583.1061465	593.7987511",,
"UID-A-001011	AS3209-116	Packing	Consumable				2	0.19	EACH	467.1981739	595.106731	732.2460986",,
"UID-A-001012	AS3209-118	Packing	Consumable				2	1.5	EACH	406.9549237	408.6785326	428.6062741",,
"UID-A-001014	AS3209-120	Packing	Consumable				2	0.23	EACH	277.9094698	421.6399539	599.8111702",,
"UID-A-001015	AS3209-126	Packing	Consumable				2	0.3	EACH	254.3485569	492.5118913	559.9163649",,
"UID-A-001016	AS3209-136	Packing	Consumable				2	1.5	EACH	286.2104991	453.3616176	455.8400256",,
"UID-A-001017	AS3209-139	Packing	Consumable				2	0.48	EACH	292.2452312	458.5401879	617.9637075",,
"UID-A-001018	AS3209-143	Packing	Consumable				2	0.56	EACH	449.506576	535.6920004	609.2692615",,
"UID-A-001024	AS3209-224	Packing	Consumable				2	0.55	EACH	361.7350334	479.9095249	569.4583151",,
"UID-A-001026	AS3491-01	Gasket (Tach Gen)	Consumable				4	0.76	EACH	447.4588564	462.2738024	569.5838328",,
"UID-A-001061	C147-7-3-8	Packing	Consumable				10	28.77	EACH	393.7295116	527.7065181	728.1411298",,
"UID-A-001072	CF03ATS2185	Lamp	Consumable				10	4.65	EACH	283.8223428	462.908177	625.3504388",,
"UID-A-001073	CF03GTS2185	Lamp	Consumable				30	4.65	EACH	466.610568	585.1297533	777.7048476",,
"UID-A-001074	CF03WTS2185	Lamp	Consumable				10	6.25	EACH	322.5820969	550.858252	620.3630179",,
"UID-A-001081	CM8-2042	Lamp	Consumable				10	 $-   	EACH	382.6143995	424.358603	541.1960318",,
"UID-A-001086	D158-100-5	EDGE LIGHT PANEL	Consumable				1	35	EACH	406.4743827	572.9969468	591.7439109",,
"UID-A-001087	D-436-36	Splice- Fuel Float SW	Consumable				4	15	EACH	300.3943654	422.5785385	600.868142",,
"UID-A-001114	EC1080-017-08SS	TINNERMAN WASHER	Consumable				5	0.14	EACH	381.0795032	588.7385004	878.2110155",,
"UID-A-001115	EC1085-020-10SS	TINNERMAN WASHER	Consumable				5	14	EACH	433.9794385	439.9863766	532.1376711",,
"UID-A-001118	ES49029-1	Packing	Consumable				10	1.53	EACH	261.4839825	520.0144264	527.2678365",,
"UID-A-001122	FCA25750	Gasket fuel Probe (I/B probe I/B wing)	Consumable				4	2.44	EACH	526.3706967	527.6959745	654.3151576",,
"UID-A-001123	FCA25751	Gasket (fuel cell cover)	Consumable				8	3.13	EACH	321.4152248	579.5197199	731.65401",,
"UID-A-001124	FCB25722	Gasket	Consumable				4	3.43	EACH	298.9039613	400.9881688	469.4355576",,
"UID-A-001130	FP221 1/2	""HEAT SHRINK TUBING"," XX-LARGE""	Consumable					37.77	ROLL	504.8058008	526.8448353	704.4779536",
"UID-A-001131	FP221 1/4	""HEAT SHRINK TUBING"," LARGE""	Consumable					13.05	PACK	459.0487953	527.0202564	548.2257672",
"UID-A-001132	FP221 3/16	""HEAT SHRINK TUBING"," MEDIUM""	Consumable					33.38	PACK	320.0658426	460.2650788	507.9833118",
"UID-A-001133	FP221 3/32	""HEAT SHRINK TUBING"," SMALL""	Consumable					20.6	PACK	352.6789749	441.2737587	552.4324236",
"UID-A-001134	FP221 3/8	""HEAT SHRINK TUBING"," X-LARGE""	Consumable					41.21	PACK	348.390352	466.7886776	541.3156703",
"UID-A-001135	FP221116	""HEAT SHRINK TUBING","X-SMALL""	Consumable					35	EACH	314.1146322	502.6032454	581.8927448",
"UID-A-001141	GMW  1	Fuse	Consumable				1	35	EACH	239.1522278	455.3732236	647.3686405",,
"UID-A-001142	GMW 1/2	Fuse	Consumable				1	4.83	EACH	250.7279817	434.0606595	627.0591525",,
"UID-A-001143	GMW 3 amp	Fuse	Consumable				1	35	EACH	452.5743522	470.7470411	654.7658198",,
"UID-A-001144	GMW-1-1/2	Fuse	Consumable				1	15	EACH	287.4854183	517.0612002	659.0465687",,
"UID-A-001165	JCD4N103	Relay	Consumable				2	115	EACH	560.9821253	579.0638377	593.263474",,
"UID-A-001166	JD4N	Relay	Consumable				4	35	EACH	497.7272501	503.2467599	595.8491244",,
"UID-A-001173	KCD4N	Relay	Consumable				2	81.26	EACH	260.7697306	449.016027	634.2937559",,
"UID-A-001175	LC-136	""LACING CORD"," WAXED""	Consumable				2	70.05	EACH	489.035051	529.4289111	754.8833268",
"UID-A-001181	M22759/16-22-9	""WIRE"," 22 GA""	Consumable					25	EACH	256.2349288	495.7897101	509.5030291",
"UID-A-001182	M25988/1-928	Packing	Consumable				2	1.06	EACH	450.8191323	516.7108871	562.8391443",,
"UID-A-001183	M27500-20TE2T14	""WIRE"," 20 GA-TSP""	Consumable					25	EACH	240.7551231	436.7788278	575.363341",
"UID-A-001184	M29588/1-022	Packing	Consumable				2	1.5	EACH	414.3683015	456.0263166	491.7447762",,
"UID-A-001185	M29588/1-212	Packing	Consumable				2	1.5	EACH	283.3724593	539.8584207	578.2299331",,
"UID-A-001186	M29588/1-916	Packing	Consumable				2	1.5	EACH	305.4519624	401.5742935	404.2445909",,
"UID-A-001188	M390166-105L	Relay	Consumable				4	152.76	EACH	521.5179444	564.6281405	672.9975283",,
"UID-A-001189	M6363/2-2	Bulb (nav)	Consumable				1	16.37	EACH	319.0302641	555.4616097	577.6798972",,
"UID-A-001190	M81714/2-BC1	Terminal Board (Matrix)	Consumable				5	0.99	EACH	322.0213725	497.5155681	732.429123",,
"UID-A-001191	M81714/2-BC-1	Terminal Board (Matrix)	Consumable				4	27.99	EACH	324.046466	486.9502252	690.0138642",,
"UID-A-001192	M81714-2DA1	Terminal Block	Consumable				2	15	EACH	274.9527027	496.4344742	509.2872749",,
"UID-A-001193	M81824/1-1	""RAYCHEM SPLICE"," RED""	Consumable				25	0.74	EACH	531.1684287	595.8758114	845.4029828",
"UID-A-001194	M81824/1-2	""RAYCHEM SPLICE"," BLUE""	Consumable				25	0.94	EACH	240.6655585	441.9873425	647.7066453",
"UID-A-001195	M81824/1-3	""RAYCHEM SPLICE"," YELLOW""	Consumable				25	1.24	EACH	452.4576296	538.2452387	616.8947716",
"UID-A-001196	M81969/1-02	""INSERT/EXTRACT TOOL"," RED/WHT METAL""	Consumable				10	1	EACH	351.7649757	581.3316546	659.2854036",
"UID-A-001197	M81969/1-04	""INSERT/EXTRACT TOOL"," GRN/WHT METAL""	Consumable				5	3.41	EACH	259.6329841	460.976346	558.8571874",
"UID-A-001198	M81969/14-01	""INSERT/EXTRACT TOOL"," GRN/WHT PLASTIC""	Consumable				10	1	EACH	394.4072276	403.4710577	483.6787165",
"UID-A-001199	M81969/14-03	""INSERT/EXTRACT TOOL"," BLU/WHT PLASTIC""	Consumable				10	1	EACH	398.4536167	536.8452607	597.1072793",
"UID-A-001200	M81969/14-10	""INSERT/EXTRACT TOOL"," ORNG/RED PLAST""	Consumable				5	1	EACH	319.7346234	563.3667853	748.1564397",
"UID-A-001201	M81969/14-11	""INSERT/EXTRACT TOOL"," RED/WHT PLASTIC""	Consumable				25	0.63	EACH	453.6650699	539.119421	748.6496498",
"UID-A-001202	M83248/1-012	Packing	Consumable				2	0.07	EACH	461.6680454	461.9409565	500.5492295",,
"UID-A-001205	M83248-1-122	Packing	Consumable				2	1.5	EACH	378.8602868	411.052102	522.2227812",,
"UID-A-001206	M83248-1A012	Packing-Preformed	Consumable				2	1.5	EACH	269.6768976	455.0823696	601.0868612",,
"UID-A-001207	M83461/1-013	Packing	Consumable				2	0.09	EACH	349.8264317	511.544825	602.2989582",,
"UID-A-001208	M83461-1-122	Packing (power pack)	Consumable				2	1.5	EACH	326.8967299	577.0264492	711.4421883",,
"UID-A-001209	M83519/2-8	""SOLDER SLEEVES"," SMALL (RAYCHEM ONLY!)""	Consumable				25	0.49	EACH	430.6943615	592.5018859	645.5198027",
"UID-A-001210	M83519/2-9	""SOLDER SLEEVES"," LARGE (RAYCHEM ONLY!)""	Consumable				25	1.8	EACH	331.4496229	434.9946703	449.6656564",
"UID-A-001221	MJ11014	Transistor	Consumable				2	7.16	EACH	306.9427586	404.8049692	467.1117505",,
"UID-A-001231	MS15570-81	Lamp	Consumable				10	1.45	EACH	456.9892674	507.1265642	674.0657914",,
"UID-A-001233	MS20034-1	Bolt (Exhaust)	Consumable				10	1.01	EACH	309.2978163	540.5959971	786.9067968",,
"UID-A-001235	MS20500-428	Nut	Consumable				10	0.81	EACH	344.962668	476.6546966	591.7844171",,
"UID-A-001236	MS21042-04	Lock Nut	Consumable				5	0.7	EACH	316.1634666	471.7897985	621.3283149",,
"UID-A-001237	MS21042-06	Lock Nut	Consumable				5	0.49	EACH	532.5755859	581.4744533	853.0627442",,
"UID-A-001238	MS21042-08	Lock Nut	Consumable				5	0.13	EACH	556.598865	597.6225451	647.8726693",,
"UID-A-001239	MS21042-3	Lock Nut	Consumable				10	0.12	EACH	550.1068917	578.0743369	675.477507",,
"UID-A-001240	MS21042L06	Lock Nut	Consumable				5	0.16	EACH	328.5399145	585.9175897	860.0413616",,
"UID-A-001241	MS21042L08	Lock Nut	Consumable				5	0.18	EACH	503.9084154	571.687131	812.2386376",,
"UID-A-001242	MS21042L3	Lock Nut	Consumable				10	0.12	EACH	391.66842	583.2113245	822.3757804",,
"UID-A-001243	MS21042L4	Lock Nut	Consumable				5	0.15	EACH	488.1847549	579.9079094	647.4031347",,
"UID-A-001244	MS21043-3	Nut High Temp	Consumable				2	1.5	EACH	226.6787774	413.5718725	618.618414",,
"UID-A-001245	MS21043-4	Nut High Temp	Consumable				2	1.5	EACH	417.9462754	492.1049799	732.4483624",,
